广东频道,#genre#
广东珠江,https://stream1.freetv.fun/yan-dong-zhu-jiang-13.ctv$1920x1080
广东珠江,http://113.109.250.116:9999/udp/239.77.1.94:5146$720x576
广东珠江,http://183.11.239.36:808/hls/83/index.m3u8
广东珠江,http://58.254.14.186:808/hls/55/index.m3u8
广东珠江,http://120.238.84.44:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
广东珠江,http://www.zzlag.top:9003/hls/31/index.m3u8
广东珠江,http://gmxw.7766.org:808/hls/83/index.m3u8
广东珠江,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010091/1.m3u8$IPv6
广东珠江,http://1b6467f415.iok.la:9931/tsfile/live/1011_1.m3u8
广东珠江,https://stream1.freetv.fun/yan-dong-zhu-jiang-21.ctv$1920x1080
广东珠江,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010091/index.m3u8
广东珠江,https://stream1.freetv.fun/ipv6-yan-dong-zhu-jiang-14.m3u8$1920x1080
广东珠江,https://stream1.freetv.fun/yan-dong-zhu-jiang-7.m3u8$1920x1080
广东珠江,https://stream1.freetv.fun/yan-dong-zhu-jiang-26.m3u8$1920x1080
广东珠江,https://stream1.freetv.fun/yan-dong-zhu-jiang-18.ctv$1920x1080
广东珠江,https://stream1.freetv.fun/yan-dong-zhu-jiang-4.ctv$1920x1080
广东珠江,https://stream1.freetv.fun/5f12b986a77ebe5440c508c13895b3e7f8767b2a47c79f3f5fe948097e15337d.m3u8$1920x1080
广东珠江,https://stream1.freetv.fun/yan-dong-zhu-jiang-25.ctv$1920x1080
广东珠江,https://stream1.freetv.fun/yan-dong-zhu-jiang-gao-qing-1.m3u8$1920x1080
广东珠江,https://stream1.freetv.fun/yan-dong-zhu-jiang-23.ctv$1920x1080
广东珠江,https://stream1.freetv.fun/967c330a56e8f2fed10ea053ac29b132d29e323680b5e20a53e3af6bcf7b2f54.m3u8$1920x1080
广东珠江,https://stream1.freetv.fun/ipv6-yan-dong-zhu-jiang-8.m3u8$1920x1080
